Asignatura,Vacantes,Horas_Semanales,Num_salas_utiles,Bloques_disponibles,TE
(INT91-FB) - TALLER DE TITULO,28,24,40,1800,0.55
(INT43-I) - TEORIA DE SISTEMAS,30,12,32,1440,0.44
(PRI84-A) - TÉCNICAS DE NEGOCIACIÓN Y,40,12,21,945,0.29
(PRI83-S) - COMUNICACIÓN Y LIDERAZGO,25,12,48,2160,0.66
(INT55-S) - FINANZAS,25,12,48,2160,0.66
(ARQ71-A) - TALLER 7,20,8,61,2745,0.84
(ARQ81-A) - TALLER 8,30,8,32,1440,0.44
(INT55-I) - FINANZAS,30,12,32,1440,0.44
(IMIA4-A) - SIST. DE GESTION EN SEGUR,30,3,32,1440,0.44
(CCI84-A) - TALLER DE INGENIERIA DE S,30,4,32,1440,0.44
(CCIA1-A) - TALLER DE INNOVACION T.I.,30,4,32,1440,0.44
(CCIA5-A) - TALLER DE TITULO,30,7,32,1440,0.44
(ICA64-A) - BIOTECNOLOGIA APLICADA,10,8,70,3150,0.96
(PRI85-AR) - TALLER DE TITULO,25,12,48,2160,0.66
(INT82-J) - DESARROLLO Y EVALUACION D,30,12,32,1440,0.44
(INT82-I) - DESARROLLO Y EVALUACION D,30,12,32,1440,0.44
(PRI65-AR) - VIGILANCIA EPIDEMIOLÓGICA,35,12,25,1125,0.34
(PRI63-AR) - HIGIENE OCUPACIONAL APLIC,35,12,25,1125,0.34
(PRI64-AR) - ERGONOMÍA,35,12,25,1125,0.34
(CCI65-A) - ANALISIS DE ALGORITMOS,30,4,32,1440,0.44
(CCI95-A) - METODOLOGIA DE LA INVESTI,3,2,73,3285,1.0
(IC10D-A) - ESTRUCTURA DE DATOS,20,4,61,2745,0.84
(FIA53-A) - ONDAS Y ÓPTICA,35,4,25,1125,0.34
(ICE44-A) - TEORÍA DE REDES I,15,4,67,3015,0.92
(INT14-J) - FISICA I,30,12,32,1440,0.44
(INT34-J) - FISICA II,30,12,32,1440,0.44
(PRO51-ON) - CÁLCULO II,30,6,32,1440,0.44
(PRO52-ON) - LEGISLACIÓN DE SALUD Y SE,30,6,32,1440,0.44
(PRO53-ON) - LEGISLACIÓN AMBIENTAL Y G,30,9,32,1440,0.44
(PRO54-ON) - QUÍMICA INDUSTRIAL,30,6,32,1440,0.44
(PRO55-ON) - LABORATORIO DE HIGIENE OC,30,12,32,1440,0.44
(PRO56-ON) - TALLER DE INTEGRACIÓN INI,30,6,32,1440,0.44
(INT52-S) - TERMODINAMICA,25,12,48,2160,0.66
(INT61-S) - MECANICA DE FLUIDOS,25,12,48,2160,0.66
(PRI61-S) - OPERACIONES UNITARIA,30,12,32,1440,0.44
(PRI62-AR) - LEGISLACIÓN DE SALUD Y SE,35,12,25,1125,0.34
(INT72-I) - GESTION DE PERSONAS II,30,12,32,1440,0.44
(ARQ62-A) - URBANISMO 1,40,2,21,945,0.29
(ARQ82-A) - URBANISMO 3,30,3,32,1440,0.44
(FIA14-C) - INTRODUCCIÓN A LA INGENIE,65,10,6,270,0.08
(INT51-S) - MICROECONOMIA,25,12,48,2160,0.66
(PRI81-S) - METODOLOGÍAS DE INVESTIGA,25,12,48,2160,0.66
(PRI84-AR) - TÉCNICAS DE NEGOCIACIÓN Y,25,12,48,2160,0.66
(INT42-S) - CONTABILIDAD Y SISTEMAS D,25,12,48,2160,0.66
(PRI65-DV1) - VIGILANCIA EPIDEMIOLÓGICA,40,12,21,945,0.29
(PRI65-DV2) - VIGILANCIA EPIDEMIOLÓGICA,40,12,21,945,0.29
(INT43-FA) - TEORIA DE SISTEMAS,24,12,49,2205,0.67
(INT68-FB) - PRODUCCION II,24,12,49,2205,0.67
(CCIA4-A) - LIDERAZGO Y EMPRENDIMIENT,30,4,32,1440,0.44
(PRI82-EEE) - SISTEMAS DE GESTIÓN DE CA,40,12,21,945,0.29
(PRI82-HHH) - SISTEMAS DE GESTIÓN DE CA,40,12,21,945,0.29
(CCIA3-A) - GESTION DE CALIDAD DE SOF,30,4,32,1440,0.44
(CCI44-A) - PROGRAMACION ORIENTADA A,30,4,32,1440,0.44
(INT42-J) - CONTABILIDAD Y SISTEMAS D,30,12,32,1440,0.44
(INT42-I) - CONTABILIDAD Y SISTEMAS D,30,12,32,1440,0.44
(ICA65-A) - SISTEMA DE INFORMACION GE,10,11,70,3150,0.96
(ICA84-A) - EVALUCION AMBIENTAL,10,3,70,3150,0.96
(FIA62-B) - ECONOMÍA,30,4,32,1440,0.44
(FIA81-A) - ING. ECONÓMICA Y DIRECCIÓ,40,4,21,945,0.29
(ARQ21-B) - TALLER 2,30,16,32,1440,0.44
(PRI85-EEE) - TALLER DE TITULO,40,12,21,945,0.29
(PRI85-HHH) - TALLER DE TITULO,40,12,21,945,0.29
(PRI81-EEE) - METODOLOGÍAS DE INVESTIGA,40,12,21,945,0.29
(PRI81-HHH) - METODOLOGÍAS DE INVESTIGA,40,12,21,945,0.29
(PRI83-EEE) - COMUNICACIÓN Y LIDERAZGO,40,12,21,945,0.29
(PRI83-HHH) - COMUNICACIÓN Y LIDERAZGO,40,12,21,945,0.29
(IC803-A) - INVESTIGACION OPERATIVA I,35,4,25,1125,0.34
(ICIA1-A) - CONFIABILIDAD Y MANTENIMI,20,3,61,2745,0.84
(ICA81-A) - INVESTIGACION DE OPERACIO,10,4,70,3150,0.96
(FIA14-A) - INTRODUCCIÓN A LA INGENIE,65,5,6,270,0.08
(ICAA1-A) - DESARROLLO Y GESTION DE P,12,5,68,3060,0.93
(INT57-J) - GESTION AMBIENTAL,30,12,32,1440,0.44
(ARQ51-B) - TALLER 5,20,7,61,2745,0.84
(ARQ61-B) - TALLER 6,20,7,61,2745,0.84
(ICA83-A) - TRAMIENTO DE RESIDUOS LIQ,10,3,70,3150,0.96
(ICA94-A) - PLANIFICACION TERRITORIAL,5,0,73,3285,1.0
(ICAA2-A) - GESTION AMBIENTAL,12,4,68,3060,0.93
(INT64-I) - OPERACIONES UNITARIAS,30,12,32,1440,0.44
(ARQ25-A) - MATEMATICAS I,60,3,7,315,0.1
(ARQ45-A) - FISICA ESTATICA,60,3,7,315,0.1
(PRI83-A) - COMUNICACIÓN Y LIDERAZGO,40,12,21,945,0.29
(FIA42-A) - MÉTODOS NUMÉRICOS,35,4,25,1125,0.34
(IC603-A) - METODOLOGIA DE LA INVESTI,35,3,25,1125,0.34
(IC802-A) - FINANZAS,45,4,14,630,0.19
(FIA42-B) - MÉTODOS NUMÉRICOS,35,4,25,1125,0.34
(INT51-J) - MICROECONOMIA,30,12,32,1440,0.44
(FIA41-A) - TERMODINÁMICA,50,6,8,360,0.11
(IMI44-A) - FENOMENOS DE TRANSPORTE,40,4,21,945,0.29
(IMEA3-A) - ADMINISTRACION DE RIESGO,30,3,32,1440,0.44
(PRI83-AR) - COMUNICACIÓN Y LIDERAZGO,25,12,48,2160,0.66
(IC404-A) - INGENIERIA DE MATERIALES,45,4,14,630,0.19
(IC601-A) - OPERACIONES UNITARIAS,35,5,25,1125,0.34
(PRI61-A) - OPERACIONES UNITARIA,50,12,8,360,0.11
(CCI64-A) - INGENIERÍA DE REQUISITOS,15,4,67,3015,0.92
(CCI64-B) - INGENIERÍA DE REQUISITOS,15,4,67,3015,0.92
(PRI65-A) - VIGILANCIA EPIDEMIOLÓGICA,50,12,8,360,0.11
(ARQ26-A) - ARQUITECTURA Y MATERIALID,60,3,7,315,0.1
(ARQC2-A) - EXPRESION GRAFICA DE PROY,30,2,32,1440,0.44
(ARQC9-A) - TEMÁTICAS EMERGENTES SOBR,40,0,21,945,0.29
(PRI81-AR) - METODOLOGÍAS DE INVESTIGA,25,12,48,2160,0.66
(IMI82-A) - DISEÑO DE EXPLOTACIONES A,20,3,61,2745,0.84
(IMI83-A) - VENTILACIÓN DE MINAS SUBT,20,3,61,2745,0.84
(IMIA2-A) - PLANEAMIENTO MINERO,20,4,61,2745,0.84
(IMIC5-A) - SEMINARIO DE PREPARACIÓN,10,3,70,3150,0.96
(INT61-J) - MECANICA DE FLUIDOS,30,12,32,1440,0.44
(PRI66-AR) - TALLER DE INTEGRACIÓN PRO,35,6,25,1125,0.34
(PRI82-AR) - SISTEMAS DE GESTIÓN DE CA,25,12,48,2160,0.66
(ARQ42-A) - MEDIOS DE EXPRESION 1,60,4,7,315,0.1
(FIA33-A) - CINEMÁTICA Y DINÁMICA,40,10,21,945,0.29
(FIA43-A) - ELECTRICIDAD Y MAGNETISMO,35,10,25,1125,0.34
(FIA43-B) - ELECTRICIDAD Y MAGNETISMO,36,10,23,1035,0.32
(ICA85-A) - SIMULACION AMBIENTAL,30,4,32,1440,0.44
(IC604-A) - MARKETING,30,4,32,1440,0.44
(IC902-A) - SISTEMAS DE INFORMACIÓN,2,2,73,3285,1.0
"(ICA01-A) - CREATIVIDAD, INNOVACION Y",40,4,21,945,0.29
(ICA02-A) - GESTION ESTRATEGICA,40,4,21,945,0.29
(ICE61-A) - MÁQUINAS ELÉCTRICAS,10,4,70,3150,0.96
(ICEA1-A) - DISEÑO Y CONST.DE CIRCUIT,15,4,67,3015,0.92
(ICEA2-A) - SISTEMAS DE CONTROL DISTR,15,4,67,3015,0.92
(ICE85-A) - SISTEMAS DE COMUNICACIONE,20,4,61,2745,0.84
(IMI84-A) - CREATIVIDAD INNOVACION Y,20,4,61,2745,0.84
(PRI85-S) - TALLER DE TITULO,25,12,48,2160,0.66
(FIA31-A) - CÁLCULO VECTORIAL,35,5,25,1125,0.34
(FIA32-A) - ECUACIONES DIFERENCIALES,35,5,25,1125,0.34
(FIA21-B) - CÁLCULO INTEGRAL,45,5,14,630,0.19
(ARQ31-A) - TALLER 3,30,8,32,1440,0.44
(ARQ41-A) - TALLER 4,30,8,32,1440,0.44
(ARQA1-A) - SEMINARIO,30,16,32,1440,0.44
(IMI61-A) - CARGIO Y TRANSPORTE DE MI,30,3,32,1440,0.44
(IMI64-A) - GEOLOGIA ESTRUCTURAL,30,3,32,1440,0.44
(IMIC4-A) - MODELAMIENTO GEOMECÁNICO,10,3,70,3150,0.96
(ICE63-A) - SISTEMAS DIGITALES,10,4,70,3150,0.96
(ICE65-A) - ELECTRÓNICA II,10,4,70,3150,0.96
(FIA24-F) - INTRODUCCIÓN A LA PROGRAM,30,4,32,1440,0.44
(CCI66-A) - EVALUACION Y DESARROLLO D,30,4,32,1440,0.44
(ICE84-A) - ELECTRÓNICA DE POTENCIA,20,4,61,2745,0.84
(ICEA5-A) - PROCESAMIENTO DIGITAL DE,15,4,67,3015,0.92
(PRI62-S) - LEGISLACIÓN DE SALUD Y SE,30,12,32,1440,0.44
(ARQ64-A) - ESTRUCTURA 2,30,3,32,1440,0.44
(ARQ84-A) - ESTRUCTURA 4,30,4,32,1440,0.44
(CCI85-A) - SISTEMAS DE INFORMACION P,30,4,32,1440,0.44
(CCIA2-A) - GESTIÓN DE PROCESOS DE NE,30,4,32,1440,0.44
(FIA24-B) - INTRODUCCIÓN A LA PROGRAM,35,4,25,1125,0.34
(FIA24-E) - INTRODUCCIÓN A LA PROGRAM,30,4,32,1440,0.44
(FIA45-B) - DIBUJO DE INGENIERÍA,35,4,25,1125,0.34
(FIA45-A) - DIBUJO DE INGENIERÍA,40,4,21,945,0.29
(FIA45-C) - DIBUJO DE INGENIERÍA,30,4,32,1440,0.44
(ARQ24-A) - TERRITORIO I,60,3,7,315,0.1
(FIA24-D) - INTRODUCCIÓN A LA PROGRAM,30,4,32,1440,0.44
(FIA21-C) - CÁLCULO INTEGRAL,45,5,14,630,0.19
(FIA22-C) - ÁLGEBRA LINEAL,45,5,14,630,0.19
(FIAB2-A) - INGLES II,30,2,32,1440,0.44
(FIAB1-A) - INGLES I,30,2,32,1440,0.44
(FIA11-A) - CÁLCULO DIFERENCIAL,60,5,7,315,0.1
(FIA11-B) - CÁLCULO DIFERENCIAL,60,5,7,315,0.1
(FIA12-A) - ÁLGEBRA,45,6,14,630,0.19
(FIA12-B) - ÁLGEBRA,45,6,14,630,0.19
(PRI63-A) - HIGIENE OCUPACIONAL APLIC,50,12,8,360,0.11
(IME46-A) - MINEROLOGIA Y GEOLOGIA,30,6,32,1440,0.44
(IMI45-A) - MINEROLOGIA Y PETROGRAFIA,30,12,32,1440,0.44
(IMI62-A) - GEOLOGIA DE MINAS,30,3,32,1440,0.44
(INT55-FA) - FINANZAS,28,12,40,1800,0.55
(INT61-FA) - MECANICA DE FLUIDOS,17,12,64,2880,0.88
(INT64-FA) - OPERACIONES UNITARIAS,17,12,64,2880,0.88
(INT82-FA) - DESARROLLO Y EVALUACION D,24,12,49,2205,0.67
(INT52-FB) - TERMODINAMICA,11,12,69,3105,0.95
(INT52-FA) - TERMODINAMICA,11,12,69,3105,0.95
(INT73-FA) - PROCESOS INDUSTRIALES,24,12,49,2205,0.67
(INT51-FB) - MICROECONOMIA,11,12,69,3105,0.95
(INT59-FB) - PRODUCCION I,10,12,70,3150,0.96
(INT61-FB) - MECANICA DE FLUIDOS,10,12,70,3150,0.96
(INT56-FB) - INGENIERIA ECONOMICA,10,12,70,3150,0.96
(INT57-FA) - GESTION AMBIENTAL,10,12,70,3150,0.96
(INT82-FB) - DESARROLLO Y EVALUACION D,10,12,70,3150,0.96
(INT75-S) - GESTION DE EMPRESAS,15,12,67,3015,0.92
(ARQ43-A) - HISTORIA Y TEORIA 3,60,3,7,315,0.1
(PRI61-AR) - OPERACIONES UNITARIA,35,12,25,1125,0.34
(ARQ44-A) - TERRITORIO 2,30,3,32,1440,0.44
(INT42-FA) - CONTABILIDAD Y SISTEMAS D,17,12,64,2880,0.88
(INT24-S) - COMPUTACION I,25,12,48,2160,0.66
(FIA62-A) - ECONOMÍA,30,4,32,1440,0.44
(PRI81-A) - METODOLOGÍAS DE INVESTIGA,40,12,21,945,0.29
(PRI84-EEE) - TÉCNICAS DE NEGOCIACIÓN Y,40,12,21,945,0.29
(PRI84-HHH) - TÉCNICAS DE NEGOCIACIÓN Y,40,12,21,945,0.29
(IMEB4-A) - QUÍMICA DEL AGUA,30,3,32,1440,0.44
(INT12-J) - QUIMICA I,30,12,32,1440,0.44
(FIAA1-A) - DIRECCIÓN ESTRATÉGICA,30,4,32,1440,0.44
(INT42-FB) - CONTABILIDAD Y SISTEMAS D,11,12,69,3105,0.95
(PRI61-DV1) - OPERACIONES UNITARIA,40,12,21,945,0.29
(PRI61-DV2) - OPERACIONES UNITARIA,40,12,21,945,0.29
(PRI63-DV1) - HIGIENE OCUPACIONAL APLIC,40,12,21,945,0.29
(PRI63-DV2) - HIGIENE OCUPACIONAL APLIC,40,12,21,945,0.29
(INT51-FA) - MICROECONOMIA,17,12,64,2880,0.88
(ARQ46-A) - CONSTRUCCION 1,60,3,7,315,0.1
(ARQ51-A) - TALLER 5,20,8,61,2745,0.84
(ARQ61-A) - TALLER 6,20,8,61,2745,0.84
(PRI66-S) - TALLER DE INTEGRACIÓN PRO,30,6,32,1440,0.44
(PRI63-S) - HIGIENE OCUPACIONAL APLIC,30,12,32,1440,0.44
(PRI65-S) - VIGILANCIA EPIDEMIOLÓGICA,30,12,32,1440,0.44
(FIA91-A) - PREPARACIÓN Y EVALUACIÓN,20,5,61,2745,0.84
(IME82-A) - FLOTACION,30,6,32,1440,0.44
(IMI63-B) - PREPARACION MECANICA DE M,30,6,32,1440,0.44
(IME44-A) - ELEM.DE QUIMICA INORGANIC,30,3,32,1440,0.44
(PRI62-DV1) - LEGISLACIÓN DE SALUD Y SE,40,12,21,945,0.29
(PRI62-DV2) - LEGISLACIÓN DE SALUD Y SE,40,12,21,945,0.29
(PRI66-DV1) - TALLER DE INTEGRACIÓN PRO,40,9,21,945,0.29
(PRI66-DV2) - TALLER DE INTEGRACIÓN PRO,40,9,21,945,0.29
(FIA14-B) - INTRODUCCIÓN A LA INGENIE,65,5,6,270,0.08
(IC605-A) - GESTION DE PERSONAS I,35,5,25,1125,0.34
(IC82A-A) - SUPPLY CHAIN MANAGEMENT,20,3,61,2745,0.84
(ICA03-A) - SISTEMAS INTEGRADOS DE GE,40,8,21,945,0.29
(FIA21-A) - CÁLCULO INTEGRAL,45,5,14,630,0.19
(FIA22-A) - ÁLGEBRA LINEAL,45,5,14,630,0.19
(FIA22-B) - ÁLGEBRA LINEAL,45,5,14,630,0.19
(INT32-J) - CALCULO III,30,12,32,1440,0.44
(PRI64-S) - ERGONOMÍA,30,12,32,1440,0.44
(FIAL1-A) - INGLES III,30,4,32,1440,0.44
(CCI61-A) - SISTEMAS DIGITALES,30,4,32,1440,0.44
(CCI81-A) - ARQUITECTURA DE COMPUTADO,30,4,32,1440,0.44
(INT24-J) - COMPUTACION I,30,12,32,1440,0.44
(IME84-A) - PIROMETALURGIA,30,6,32,1440,0.44
(IMI63-A) - PREPARACION MECANICA DE M,30,10,32,1440,0.44
(INT52-J) - TERMODINAMICA,30,12,32,1440,0.44
(INT61-I) - MECANICA DE FLUIDOS,30,12,32,1440,0.44
(PRI84-S) - TÉCNICAS DE NEGOCIACIÓN Y,25,12,48,2160,0.66
(ICIA5-A) - INTRODUCCIÓN A PROYECTO,20,3,61,2745,0.84
(INT16-J) - ADMINISTRACION DE EMPRESA,30,12,32,1440,0.44
