Asignatura,Vacantes,Horas_Semanales,Num_salas_utiles,Bloques_disponibles,TE
(PRI82-HHH) - SISTEMAS DE GESTIÓN DE CA,40,12,8,360,0.2
(CCIA3-A) - GESTION DE CALIDAD DE SOF,30,4,15,675,0.38
(CCI44-A) - PROGRAMACION ORIENTADA A,30,4,15,675,0.38
(INT42-J) - CONTABILIDAD Y SISTEMAS D,30,12,15,675,0.38
(INT42-I) - CONTABILIDAD Y SISTEMAS D,30,12,15,675,0.38
(ICA65-A) - SISTEMA DE INFORMACION GE,10,5,39,1755,0.97
(ICA84-A) - EVALUCION AMBIENTAL,10,3,39,1755,0.97
(FIA62-B) - ECONOMÍA,30,4,15,675,0.38
(FIA81-A) - ING. ECONÓMICA Y DIRECCIÓ,40,4,8,360,0.2
(ARQ21-B) - TALLER 2,30,8,15,675,0.38
(PRI85-EEE) - TALLER DE TITULO,40,12,8,360,0.2
(PRI85-HHH) - TALLER DE TITULO,40,12,8,360,0.2
(PRI81-EEE) - METODOLOGÍAS DE INVESTIGA,40,12,8,360,0.2
(PRI81-HHH) - METODOLOGÍAS DE INVESTIGA,40,12,8,360,0.2
(PRI83-EEE) - COMUNICACIÓN Y LIDERAZGO,40,12,8,360,0.2
(PRI83-HHH) - COMUNICACIÓN Y LIDERAZGO,40,12,8,360,0.2
(IC803-A) - INVESTIGACION OPERATIVA I,35,4,10,450,0.25
(ICIA1-A) - CONFIABILIDAD Y MANTENIMI,20,3,33,1485,0.82
(ICA81-A) - INVESTIGACION DE OPERACIO,10,4,39,1755,0.97
(FIA14-A) - INTRODUCCIÓN A LA INGENIE,65,5,2,90,0.05
(ICAA1-A) - DESARROLLO Y GESTION DE P,12,5,38,1710,0.95
(INT57-J) - GESTION AMBIENTAL,30,12,15,675,0.38
(ARQ51-B) - TALLER 5,20,7,33,1485,0.82
(ARQ61-B) - TALLER 6,20,7,33,1485,0.82
(ICA83-A) - TRAMIENTO DE RESIDUOS LIQ,10,3,39,1755,0.97
(ICA94-A) - PLANIFICACION TERRITORIAL,5,0,40,1800,1.0
(ICAA2-A) - GESTION AMBIENTAL,12,4,38,1710,0.95
(INT64-I) - OPERACIONES UNITARIAS,30,12,15,675,0.38
(ARQ25-A) - MATEMATICAS I,60,3,3,135,0.07
(ARQ45-A) - FISICA ESTATICA,60,3,3,135,0.07
(PRI83-A) - COMUNICACIÓN Y LIDERAZGO,40,12,8,360,0.2
(FIA42-A) - MÉTODOS NUMÉRICOS,35,2,10,450,0.25
(IC603-A) - METODOLOGIA DE LA INVESTI,35,3,10,450,0.25
(IC802-A) - FINANZAS,45,4,5,225,0.12
(FIA42-B) - MÉTODOS NUMÉRICOS,35,2,10,450,0.25
(INT51-J) - MICROECONOMIA,30,12,15,675,0.38
(FIA41-A) - TERMODINÁMICA,50,3,4,180,0.1
(IMI44-A) - FENOMENOS DE TRANSPORTE,40,4,8,360,0.2
(IMEA3-A) - ADMINISTRACION DE RIESGO,30,3,15,675,0.38
(PRI83-AR) - COMUNICACIÓN Y LIDERAZGO,25,12,24,1080,0.6
(IC404-A) - INGENIERIA DE MATERIALES,45,4,5,225,0.12
(IC601-A) - OPERACIONES UNITARIAS,35,5,10,450,0.25
(PRI61-A) - OPERACIONES UNITARIA,50,12,4,180,0.1
(CCI64-A) - INGENIERÍA DE REQUISITOS,15,4,37,1665,0.93
(CCI64-B) - INGENIERÍA DE REQUISITOS,15,4,37,1665,0.93
(PRI65-A) - VIGILANCIA EPIDEMIOLÓGICA,50,12,4,180,0.1
(ARQ26-A) - ARQUITECTURA Y MATERIALID,60,3,3,135,0.07
(ARQC2-A) - EXPRESION GRAFICA DE PROY,30,2,15,675,0.38
(ARQC9-A) - TEMÁTICAS EMERGENTES SOBR,40,0,8,360,0.2
